rank,grid_id,feature_timestamp,risk_score,risk_level,model_version,reason,attention
1,4401,2013-11-08T04:30:00.000+05:30,0.9963084757059949,HIGH,ml4-random-forest-v1,High model-estimated unusual activity risk.,"Investigate the grid activity pattern and review recent observations. This is an investigation signal, not a confirmed network fault."
2,4502,2013-11-08T04:30:00.000+05:30,0.9963084757059949,HIGH,ml4-random-forest-v1,High model-estimated unusual activity risk.,"Investigate the grid activity pattern and review recent observations. This is an investigation signal, not a confirmed network fault."
3,4602,2013-11-08T04:30:00.000+05:30,0.9963084757059949,HIGH,ml4-random-forest-v1,High model-estimated unusual activity risk.,"Investigate the grid activity pattern and review recent observations. This is an investigation signal, not a confirmed network fault."
4,4301,2013-11-08T04:30:00.000+05:30,0.9962880075432917,HIGH,ml4-random-forest-v1,High model-estimated unusual activity risk.,"Investigate the grid activity pattern and review recent observations. This is an investigation signal, not a confirmed network fault."
5,4702,2013-11-08T04:30:00.000+05:30,0.9958831585605806,HIGH,ml4-random-forest-v1,High model-estimated unusual activity risk.,"Investigate the grid activity pattern and review recent observations. This is an investigation signal, not a confirmed network fault."
6,4601,2013-11-08T04:30:00.000+05:30,0.9958440435278605,HIGH,ml4-random-forest-v1,High model-estimated unusual activity risk.,"Investigate the grid activity pattern and review recent observations. This is an investigation signal, not a confirmed network fault."
7,4501,2013-11-08T04:30:00.000+05:30,0.9956847318153909,HIGH,ml4-random-forest-v1,High model-estimated unusual activity risk.,"Investigate the grid activity pattern and review recent observations. This is an investigation signal, not a confirmed network fault."
8,5567,2013-11-08T04:30:00.000+05:30,0.9950247571419739,HIGH,ml4-random-forest-v1,High model-estimated unusual activity risk.,"Investigate the grid activity pattern and review recent observations. This is an investigation signal, not a confirmed network fault."
9,1207,2013-11-08T04:30:00.000+05:30,0.9943021257105299,HIGH,ml4-random-forest-v1,High model-estimated unusual activity risk.,"Investigate the grid activity pattern and review recent observations. This is an investigation signal, not a confirmed network fault."
10,4755,2013-11-08T04:30:00.000+05:30,0.9937882898939198,HIGH,ml4-random-forest-v1,High model-estimated unusual activity risk.,"Investigate the grid activity pattern and review recent observations. This is an investigation signal, not a confirmed network fault."
11,13,2013-11-08T04:30:00.000+05:30,0.9937098966008405,HIGH,ml4-random-forest-v1,High model-estimated unusual activity risk.,"Investigate the grid activity pattern and review recent observations. This is an investigation signal, not a confirmed network fault."
12,5857,2013-11-08T04:30:00.000+05:30,0.9933849374313986,HIGH,ml4-random-forest-v1,High model-estimated unusual activity risk.,"Investigate the grid activity pattern and review recent observations. This is an investigation signal, not a confirmed network fault."
13,5765,2013-11-08T04:30:00.000+05:30,0.9931762290433265,HIGH,ml4-random-forest-v1,High model-estimated unusual activity risk.,"Investigate the grid activity pattern and review recent observations. This is an investigation signal, not a confirmed network fault."
14,1107,2013-11-08T04:30:00.000+05:30,0.993163902738631,HIGH,ml4-random-forest-v1,High model-estimated unusual activity risk.,"Investigate the grid activity pattern and review recent observations. This is an investigation signal, not a confirmed network fault."
15,6169,2013-11-08T04:30:00.000+05:30,0.9930914686853979,HIGH,ml4-random-forest-v1,High model-estimated unusual activity risk.,"Investigate the grid activity pattern and review recent observations. This is an investigation signal, not a confirmed network fault."
16,6073,2013-11-08T04:30:00.000+05:30,0.9927665353677569,HIGH,ml4-random-forest-v1,High model-estimated unusual activity risk.,"Investigate the grid activity pattern and review recent observations. This is an investigation signal, not a confirmed network fault."
17,2801,2013-11-08T04:30:00.000+05:30,0.9927401670744096,HIGH,ml4-random-forest-v1,High model-estimated unusual activity risk.,"Investigate the grid activity pattern and review recent observations. This is an investigation signal, not a confirmed network fault."
18,6260,2013-11-08T04:30:00.000+05:30,0.9926576515720094,HIGH,ml4-random-forest-v1,High model-estimated unusual activity risk.,"Investigate the grid activity pattern and review recent observations. This is an investigation signal, not a confirmed network fault."
19,5658,2013-11-08T04:30:00.000+05:30,0.9925903166158305,HIGH,ml4-random-forest-v1,High model-estimated unusual activity risk.,"Investigate the grid activity pattern and review recent observations. This is an investigation signal, not a confirmed network fault."
20,4654,2013-11-08T04:30:00.000+05:30,0.9925656099751649,HIGH,ml4-random-forest-v1,High model-estimated unusual activity risk.,"Investigate the grid activity pattern and review recent observations. This is an investigation signal, not a confirmed network fault."
